Year_RB,Name,Height,Weight (in),40,Bench Press,Vert,Broad Jump,Shuttle Run,3Cone
2024,Rasheen Ali,71.38,206,,,,,,
2024,Braelon Allen,73,235,,26,32,117,,
2024,Emani Bailey,67.38,202,4.61,,33.5,116,,
2024,Trey Benson,72.38,216,4.39,,33.5,122,,
2024,Jonathon Brooks,72,216,,,,,,
2024,Blake Corum,67.63,205,4.53,27,35.5,,,
2024,Isaiah Davis,71.75,218,4.57,23,34.5,119,,
2024,Ray Davis,68.38,211,4.52,,35,119,,
2024,Daijun Edwards,69.75,207,,,,114,,
2024,Audric Estime,71.25,221,4.71,23,38,125,,
2024,Frank Gore,67.75,201,,12,,,,
2024,Isaac Guerendo,71.75,221,4.33,,41.5,129,,
2024,George Holani,70.25,208,4.52,24,39,127,,
2024,Bucky Irving,69.13,192,4.55,,29.5,115,,
2024,Dillon Johnson,71.75,217,4.68,,31.5,117,,
2024,Jawhar Jordan,69.63,193,4.56,,,,,
2024,Dylan Laube,69.75,206,4.54,23,37,118,,
2024,MarShawn Lloyd,69.13,220,4.46,25,36,118,,
2024,Jase McClellan,69.75,221,,20,,,,
2024,Kendall Milton,73.63,225,4.62,18,35.5,124,,
2024,Keilan Robinson,68.38,191,4.42,,33,125,,
2024,Cody Schrader,68.63,202,4.61,,33,,,
2024,Will Shipley,71.25,206,,,,,,
2024,Jaden Shirden,67.5,187,4.45,,34.5,117,,
2024,Tyrone Tracy,70.88,209,4.48,,40,124,,
2024,Kimani Vidal,67.63,213,4.46,18,37.5,120,,
2024,Michael Wiley,70.63,210,4.51,,33.5,119,,
2024,Miyan Williams,68.63,229,,,,,,
2024,Jaylen Wright,70.63,210,4.38,,38,134,,
2023,Israel Abanikanda,70.13,216,,,,,,
2023,Devon Achane,68.5,188,4.32,,33,,,
2023,Tank Bigsby,71.63,215,4.56,21,32.5,119,,
2023,Chase Brown,69.5,209,4.43,25,40,127,,
2023,Zach Charbonnet,72.38,222,4.53,18,37,122,4.46,7.16
2023,Travis Dye,70,210,4.82,16,27,107,,
2023,Tiyon Evans,69.5,225,4.52,,30.5,,,
2023,Zach Evans,71.13,202,,,,,,
2023,Jahmyr Gibbs,69.13,199,4.36,,33.5,,,
2023,Eric Gray,69.5,207,,,37.5,118,,
2023,Evan Hull,70.13,209,4.47,21,37,123,4.38,6.9
2023,Mohamed Ibrahim,67.75,203,,,,,,
2023,Roschon Johnson,72.38,225,4.58,,31.5,122,,
2023,DeWayne McBride,70.38,215,,20,,,,
2023,Kenny McIntosh,72.25,216,4.62,,32.5,113,4.69,7.69
2023,Kendre Miller,71.13,215,,,,,,
2023,Keaton Mitchell,67.88,179,4.37,,38,126,,
2023,Camerun Peoples,73.38,217,4.61,,37,121,,
2023,Deneric Prince,71.75,216,4.41,,35.5,124,,
2023,Bijan Robinson,71,215,4.46,,37,124,,
2023,Chris Rodriguez,71.63,217,4.52,19,33,114,4.31,
2023,Tyjae Spears,69.63,201,4.54,18,39,125,4.32,7.27
2023,Tavion Thomas,72.38,237,4.74,19,30,118,4.69,
2023,SaRodorick Thompson,71.5,207,4.67,,32.5,120,4.7,7.25
2023,Sean Tucker,69.25,207,,,,,,
2023,Deuce Vaughn,65,179,,17,35.5,116,,
2022,Tyler Allgeier,70.75,224,4.6,,33,120,,
2022,Tyler Badie,68,197,4.45,,33.5,121,,
2022,Greg Bell,70.5,201,,17,31,120,,
2022,Max Borghi,69.38,210,,20,,,,
2022,Kennedy Brooks,70.63,209,4.59,14,31,120,4.4,7.03
2022,Leddie Brown,72.13,213,4.64,,30,118,,
2022,Ty Chandler,71.25,204,4.38,,31,121,,
2022,Snoop Conner,70.13,222,4.59,25,29.5,118,,
2022,James Cook,71,199,4.42,,33,124,,
2022,Jashaun Corbin,71.13,202,,,,,,
2022,Tyrion Davis-Price,72.38,211,4.48,,30,117,,
2022,Jerrion Ealy,68.13,189,4.52,,34.5,128,,
2022,Trestan Ebner,70.75,206,4.43,,30,,,
2022,Jerome Ford,70.5,210,4.46,,31,118,,
2022,Tyler Goodson,69,197,4.42,,36.5,123,,
2022,Breece Hall,71.25,217,4.39,,40,126,,
2022,Kevin Harris,69.88,221,,21,38.5,126,,
2022,Hassan Haskins,73.75,228,,27,,,,
2022,Keaontay Ingram,71.75,221,4.53,,34.5,122,,
2022,Zonovan Knight,70.88,209,4.58,,31,114,,
2022,Sincere McCormick,68.5,205,4.6,,33.5,116,,
2022,Isaih Pacheco,70.25,216,4.37,,33,118,,
2022,Dameon Pierce,69.63,218,4.59,21,34.5,119,,
2022,DVonte Price,73.38,210,4.38,,34,119,,
2022,Ronnie Rivers,67.5,195,4.6,,36.5,119,,
2022,Brian Robinson,73.63,225,4.53,,30,119,,
2022,Abram Smith,71.63,213,,,,,,
2022,Isaiah Spiller,72.38,217,,,30,114,,
