URL,Year,School,Conf,Class,Pos,G,college_rush_att,college_rush_yds,college_rush_avg,college_rush_TD,college_rec_rec,college_rec_yds,college_rec_avg,college_rec_TD,college_scrim_plays,college_scrim_yds,college_scrim_avg,college_scrim_TD
https://www.sports-reference.com/cfb/players/aaron-brown-2.html,,TCU,MWC,,,42.0,487.0,2596.0,5.3,20.0,81.0,857.0,10.325000000000001,5.0,568.0,3453.0,6.0,25.0
https://www.sports-reference.com/cfb/players/aaron-jones-6.html,,UTEP,CUSA,,,35.0,658.0,4114.0,6.225,33.0,71.0,646.0,8.350000000000001,7.0,729.0,4760.0,6.65,40.0
https://www.sports-reference.com/cfb/players/abram-smith-1.html,,Baylor,Big 12,,,36.0,269.0,1647.0,4.466666666666667,13.0,14.0,78.0,4.4,0.0,283.0,1725.0,4.466666666666667,13.0
https://www.sports-reference.com/cfb/players/adam-muema-1.html,,San Diego State,MWC,,,32.0,535.0,2955.0,5.7,34.0,29.0,248.0,7.733333333333334,2.0,564.0,3203.0,5.733333333333333,36.0
https://www.sports-reference.com/cfb/players/adimchinobe-echemandu-1.html,,California,Pac-10,,,13.0,238.0,1195.0,5.0,13.0,22.0,185.0,8.4,0.0,260.0,1380.0,5.3,13.0
https://www.sports-reference.com/cfb/players/adimchinobi-echemandu-1.html,,California,Pac-10,,,13.0,238.0,1195.0,5.0,13.0,22.0,185.0,8.4,0.0,260.0,1380.0,5.3,13.0
https://www.sports-reference.com/cfb/players/adrian-peterson-1.html,,Oklahoma,Big 12,,,31.0,748.0,4041.0,5.366666666666667,41.0,24.0,198.0,7.2,1.0,772.0,4239.0,5.466666666666666,42.0
https://www.sports-reference.com/cfb/players/ahmaad-galloway-1.html,,Alabama,SEC,,,38.0,376.0,1830.0,4.75,17.0,8.0,73.0,7.8999999999999995,0.0,384.0,1903.0,4.8,17.0
https://www.sports-reference.com/cfb/players/ahmad-bradshaw-1.html,,Marshall,CUSA,,,33.0,558.0,2982.0,5.233333333333333,31.0,87.0,697.0,9.266666666666667,5.0,645.0,3679.0,5.766666666666667,36.0
https://www.sports-reference.com/cfb/players/aj-dillon-1.html,,Boston College,ACC,,,36.0,845.0,4382.0,5.166666666666667,38.0,21.0,236.0,10.05,2.0,866.0,4618.0,5.3,40.0
